CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
988561105,63,BROOKLYN,12/20/2019,11:30:00,01/15/2020,18:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,126,FELONY,INSIDE,MISCELLANEOUS PENAL LAW,,PATROL BORO BKLYN SOUTH,198,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,01/18/2020,,25-44,BLACK,M,,25-44,BLACK,F,999060,167196,40.62558672700004,-73.94664942399999,"(40.62558672700004, -73.94664942399999)"
480138585,111,QUEENS,12/20/2019,22:00:00,12/20/2019,22:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO QUEENS NORTH,307,"LARCENY,PETIT BY DISHONEST EMP",SMALL MERCHANT,01/13/2020,,<18,BLACK,F,,25-44,WHITE,M,1047516,217994,40.764801456000036,-73.77161335699996,"(40.764801456000036, -73.77161335699996)"
133473995,14,MANHATTAN,12/20/2019,12:00:00,12/20/2019,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO MAN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",BANK,01/11/2020,,,,,,65+,BLACK,F,988974,212759,40.750657819000025,-73.98295160999999,"(40.750657819000025, -73.98295160999999)"
466536854,1,MANHATTAN,12/20/2019,11:47:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,639,AGGRAVATED HARASSMENT 2,COMMERCIAL BUILDING,01/19/2020,,25-44,UNKNOWN,F,,25-44,WHITE HISPANIC,F,981805,197281,40.708175407000056,-74.00882030499997,"(40.708175407000056, -74.00882030499997)"
685297778,49,BRONX,12/20/2019,16:00:00,01/02/2020,08:40:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",PUBLIC SCHOOL,01/14/2020,,,,,,UNKNOWN,UNKNOWN,D,1025467,254991,40.86647801100002,-73.85098209699999,"(40.86647801100002, -73.85098209699999)"
165100511,111,QUEENS,12/20/2019,15:35:00,12/20/2019,15:40:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,FRONT OF,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO QUEENS NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,01/15/2020,,UNKNOWN,WHITE,M,,<18,WHITE,M,1047065,217739,40.76410476400008,-73.77324382799998,"(40.76410476400008, -73.77324382799998)"
272424171,40,BRONX,12/20/2019,01:00:00,01/18/2020,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,458,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",STORAGE FACILITY,01/20/2020,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,1004010,236477,40.81573659600008,-73.92861400899994,"(40.81573659600008, -73.92861400899994)"
414915407,103,QUEENS,12/20/2019,20:00:00,12/21/2019,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE - APT. HOUSE,01/12/2020,,,,,,25-44,WHITE,F,1037130,195345,40.70270388400007,-73.80928434099997,"(40.70270388400007, -73.80928434099997)"
668642551,6,MANHATTAN,12/20/2019,11:00:00,12/29/2019,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO MAN SOUTH,303,"LARCENY,PETIT BY CHECK USE",STREET,01/19/2020,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,984475,206742,40.73414391000005,-73.99918958099995,"(40.73414391000005, -73.99918958099995)"
513402671,94,BROOKLYN,12/20/2019,12:00:00,01/06/2020,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,REAR OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESIDENCE-HOUSE,01/17/2020,,,,,,UNKNOWN,UNKNOWN,E,997245,204130,40.726965067000044,-73.95311662899996,"(40.726965067000044, -73.95311662899996)"
404819632,23,MANHATTAN,12/20/2019,00:00:00,12/20/2019,08:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO MAN NORTH,301,"LARCENY,PETIT BY ACQUIRING LOS",TAXI (LIVERY LICENSED),01/11/2020,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,999194,228041,40.79259155500005,-73.94603166199995,"(40.79259155500005, -73.94603166199995)"
915784465,106,QUEENS,12/20/2019,08:00:00,01/24/2020,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,353,MISDEMEANOR,INSIDE,UNAUTHORIZED USE OF A VEHICLE,,PATROL BORO QUEENS SOUTH,462,UNAUTHORIZED USE VEHICLE 3,OTHER,01/24/2020,,18-24,ASIAN / PACIFIC ISLANDER,M,,UNKNOWN,UNKNOWN,D,1038784,185089,40.67454354700004,-73.80340205699997,"(40.67454354700004, -73.80340205699997)"
